id,title,main_price,off_price,off_percent,inventory,store,is_exist,extracted_at,source
315967,نمک خانواده 2.5 کیلوگرم کاوه,1495000,971750,35,70,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
315970,نمک سلفون 1 کیلوگرم سان,755000,490750,35,201,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
325378,نمک  تبلور سلفون 1000گرم پوسان,755000,490750,35,301,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
315969,نمک 750 گرم سان,595000,386750,35,406,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
312901,سس کچاپ تند 550 گرم بیژن,1699000,1274250,25,67,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316797,فلفل سیاه سلفون 80 گرم برکت دریانی,2999000,2249250,25,94,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
312900,سس کچاپ 550 گرم بیژن,1649000,1236750,25,231,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
324625,کنسرو مایه ماکارونی باسویا 380 گرم بیژن,1699000,1325220,22,24,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
312903,کنسرو خوراک بادمجان 380 گرم بیژن,1699000,1325220,22,45,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
312902,کنسرو عدسی 380 گرم بیژن,1599000,1247220,22,15,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
325780,کنسرو لوبیاچیتی با قارچ 400 گرم مهرام,2100000,1827000,13,45,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
388409,کنسرو مخلوط سبزیجات 400 گرمی,2200000,1914000,13,6,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
324802,کنسرو نخودفرنگی 380 گرم بهروز,2000000,1840000,8,24,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
413807,کنسرو نخودفرنگی 380 گرم سمیه,1900000,1805000,5,34,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
323912,کنسرو مایه ماکارونی 380 گرمی سمیه,1750000,1662500,5,43,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
324143,کنسرو ذرت شیرین 380 گرمی سمیه,1900000,1805000,5,36,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
324803,کنسرو قارچ و لوبیا چیتی 380 گرم بهروز,1800000,1746000,3,36,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
